DV,s1_F,s1_df,s1_p,s1_pes,s2_freq_p,s2_freq_pes,s2_dep_p,s2_dep_pes,s2_int_p,s2_int_pes
dwell_ratio_cms,0.397,"1.84, 44.21",0.6581,0.0163,0.8977,0.0042,0.0263,0.146,0.5004,0.0316
dwell_time_cms_ms,0.623,"1.96, 47.06",0.5374,0.0253,0.8406,0.0065,0.0254,0.1446,0.7544,0.0156
fixation_duration_cms_mean_ms,1.076,"1.42, 34.1",0.3316,0.0429,0.7671,0.008,0.8489,0.0047,0.2428,0.0559
fixation_duration_road_mean_ms,0.124,"2.22, 53.3",0.9019,0.0052,0.8236,0.0059,0.3272,0.0436,0.5435,0.0287
transition_count,0.158,"2.09, 50.12",0.86240000000000006,0.0066,0.7295,0.0123,0.3632,0.0409,0.6795,0.021
fixation_count_cms,0.412,"2.43, 58.34",0.7036,0.0169,0.9671,0.0011,0.1989,0.066,0.2076,0.0597
fixation_count_road,1.892,"2.22, 53.19",0.1566,0.0731,0.2407,0.0579,0.0455,0.1223,0.6372,0.0234
