>>>>>>>>>> Time of results: 04/17/2026 15:17:58 <<<<<<<<<<
SubjectID: Obs1
Seq Name	Seq Number	Rating
Split_A_112_L1_F1_12_5_.bgr	2	17.459930	1.969512	2.207317	1.658537	7.000000	
Split_C_112_L1_F3_8_33_.bgr	27	17.733515	5.042683	3.195122	4.000000	7.000000	
Split_C_112_L1_F1_12_5_.bgr	22	17.654093	1.951220	1.000000	1.804878	7.000000	
Split_C_112_L1_F2_25_.bgr	26	16.924467	4.804878	4.914634	3.871951	6.048780	
Split_A_112_L1_F2_8_33_.bgr	4	16.920742	2.006098	2.957317	1.896341	7.000000	
Split_C_112_L1_F3_25_.bgr	29	16.848497	5.207317	4.914634	4.951220	7.000000	
Split_C_112_L1_F2_8_33_.bgr	24	16.342157	2.207317	2.097561	1.000000	7.000000	
Split_B_112_L1_F2_12_5_.bgr	15	17.408754	2.957317	1.201220	1.000000	6.067073	
Split_B_112_L1_F1_8_33_.bgr	11	18.456669	4.969512	3.981707	4.018292	5.042683	
Split_A_112_L1_F3_25_.bgr	9	17.495630	5.829268	3.908537	3.981707	7.000000	
Split_C_112_L1_F3_12_5_.bgr	28	17.575863	5.573171	4.951220	5.115854	7.000000	
Split_B_112_L1_F3_12_5_.bgr	18	17.243160	4.000000	3.067073	3.012195	7.000000	
Split_B_112_L1_F1_25_.bgr	13	17.177546	2.134146	2.262195	2.298780	7.000000	
Split_C_112_L1_F2_12_5_.bgr	25	17.647539	3.195122	2.189024	2.170732	7.000000	
Split_B_112_L1_F2_25_.bgr	16	17.805624	3.323171	2.939024	2.902439	7.000000	
Split_C_112_L1_F1_8_33_.bgr	21	17.001432	4.402439	3.908537	4.054878	5.920732	
Split_C_112_L1_F1_25_.bgr	23	17.504545	4.987805	5.115854	5.060976	7.000000	
Split_A_112_L1_F1_25_.bgr	3	17.010910	2.115854	1.000000	1.000000	7.000000	
Split_B_112_L1_F3_8_33_.bgr	17	18.295795	6.268293	5.719512	6.176829	3.140244	
Split_B_112_L1_F2_8_33_.bgr	14	17.809193	4.841463	4.128049	4.000000	5.847561	
Split_A_112_L1_F2_12_5_.bgr	5	17.003098	2.957317	1.969512	1.621951	5.006098	
Split_C_112_L1_F0_00_.bgr	20	17.321434	1.000000	1.000000	1.000000	7.000000	
Split_B_112_L1_F0_00_.bgr	10	17.165670	1.000000	1.000000	1.475610	7.000000	
Split_B_112_L1_F3_25_.bgr	19	17.746189	4.859756	3.067073	3.085366	7.000000	
Split_B_112_L1_F1_12_5_.bgr	12	17.655300	2.865854	2.079268	2.060976	6.981707	
Split_A_112_L1_F2_25_.bgr	6	18.774920	5.719512	4.841463	6.012195	2.006098	
Split_A_112_L1_F3_12_5_.bgr	8	17.406452	3.963415	3.835366	4.310976	6.963415	
Split_A_112_L1_F1_8_33_.bgr	1	17.658245	2.097561	2.006098	2.006098	6.030488	
Split_A_112_L1_F0_00_.bgr	0	16.915188	1.000000	1.000000	1.000000	7.000000	
Split_A_112_L1_F3_8_33_.bgr	7	17.156679	5.060976	4.987805	4.073171	6.012195	
