>>>>>>>>>> Time of results: 05/19/2026 11:22:36 <<<<<<<<<<
SubjectID: Obs1
Seq Name	Seq Number	Rating
Split_A_112_L1_F1_25_.bgr	3	15.512308	1.932927	4.164634	2.975610	6.304878	
Split_A_112_L1_F0_00_.bgr	0	15.174239	2.024390	4.073171	2.993902	5.975610	
Split_C_112_L1_F1_25_.bgr	23	16.600067	3.103658	4.237805	2.993902	6.048780	
Split_C_112_L1_F2_12_5_.bgr	25	15.557739	4.292683	3.926829	2.957317	5.115854	
Split_B_112_L1_F3_8_33_.bgr	17	16.038540	4.292683	4.146341	4.128049	6.176829	
Split_C_112_L1_F0_00_.bgr	20	16.122360	3.945122	4.237805	4.347561	5.810976	
Split_A_112_L1_F2_12_5_.bgr	5	16.681816	4.182927	4.603659	4.621951	6.030488	
Split_B_112_L1_F2_8_33_.bgr	14	17.084589	4.731708	4.548780	5.500000	4.731708	
Split_A_112_L1_F2_8_33_.bgr	4	16.680693	4.530488	4.292683	4.219512	5.865854	
Split_A_112_L1_F3_12_5_.bgr	8	17.170732	3.817073	4.786585	5.280488	5.609756	
Split_B_112_L1_F1_12_5_.bgr	12	17.080338	4.878049	4.530488	4.237805	6.067073	
Split_C_112_L1_F1_12_5_.bgr	22	17.484943	4.182927	4.859756	4.932927	6.286585	
Split_B_112_L1_F3_12_5_.bgr	18	16.365910	3.945122	4.841463	4.128049	5.792683	
Split_B_112_L1_F3_25_.bgr	19	17.811172	5.097561	4.731708	4.237805	3.762195	
Split_A_112_L1_F1_8_33_.bgr	1	17.483904	3.560976	3.707317	4.054878	4.932927	
Split_B_112_L1_F2_12_5_.bgr	15	18.055702	4.182927	3.634146	4.146341	3.341463	
Split_A_112_L1_F2_25_.bgr	6	17.000879	3.707317	4.109756	4.475610	4.402439	
Split_C_112_L1_F3_8_33_.bgr	27	17.569901	5.719512	4.658537	5.463415	5.060976	
Split_C_112_L1_F2_25_.bgr	26	17.401386	4.018292	4.585366	4.804878	5.609756	
Split_A_112_L1_F1_12_5_.bgr	2	17.337315	3.871951	4.219512	4.750000	6.670732	
Split_A_112_L1_F3_25_.bgr	9	16.921797	4.365853	4.804878	5.115854	5.536585	
Split_B_112_L1_F1_8_33_.bgr	11	16.839268	4.091463	4.018292	4.000000	6.103659	
Split_B_112_L1_F1_25_.bgr	13	17.895588	4.054878	5.189024	5.609756	3.195122	
Split_A_112_L1_F3_8_33_.bgr	7	18.461414	4.182927	4.585366	4.951220	2.518293	
Split_C_112_L1_F2_8_33_.bgr	24	17.567299	4.951220	4.439024	5.042683	5.682927	
Split_C_112_L1_F3_25_.bgr	29	17.235111	5.810976	6.067073	5.737805	5.463415	
Split_C_112_L1_F1_8_33_.bgr	21	17.521612	2.993902	3.195122	3.323171	6.176829	
Split_C_112_L1_F3_12_5_.bgr	28	17.000000	5.152439	4.713415	5.609756	5.115854	
Split_B_112_L1_F2_25_.bgr	16	17.244844	3.908537	3.012195	4.000000	6.030488	
Split_B_112_L1_F0_00_.bgr	10	16.844402	2.170732	2.006098	2.024390	5.939024	
