variable,condition,frequency,modulation_depth,n,mean,sd,median,IQR,missing_n
fixation_duration_road_mean_ms,0 Hz (stable),0,NA,75,391.693,169.326,365.09,149.975,0
fixation_duration_road_mean_ms,8.33 Hz / 40%,8.33,40,75,369.469,121.423,369.15,172.795,0
fixation_duration_road_mean_ms,8.33 Hz / 60%,8.33,60,74,406.872,243.419,353.98,133.267,1
fixation_duration_road_mean_ms,8.33 Hz / 80%,8.33,80,75,385.56,133.633,363.4,175.18,0
fixation_duration_road_mean_ms,12.5 Hz / 40%,12.5,40,75,379.256,235.75,352.48,138.79,0
fixation_duration_road_mean_ms,12.5 Hz / 60%,12.5,60,75,366.862,131.418,340.65,160.015,0
fixation_duration_road_mean_ms,12.5 Hz / 80%,12.5,80,75,390.113,176.43,331.89,168.365,0
fixation_duration_road_mean_ms,25 Hz / 40%,25,40,75,374.095,120.529,360.74,149.615,0
fixation_duration_road_mean_ms,25 Hz / 60%,25,60,75,377.043,177.633,324.11,179.565,0
fixation_duration_road_mean_ms,25 Hz / 80%,25,80,75,408.087,357.743,336.36,163.865,0
valid_ratio,0 Hz (stable),0,NA,75,91.96,9.708,94.89,4.945,0
valid_ratio,8.33 Hz / 40%,8.33,40,75,91.565,8.928,94.72,6.075,0
valid_ratio,8.33 Hz / 60%,8.33,60,75,89.478,14.8,94.45,8.77,0
valid_ratio,8.33 Hz / 80%,8.33,80,75,91.545,7.946,94.77,6.975,0
valid_ratio,12.5 Hz / 40%,12.5,40,75,92.499,6.846,95.33,5.62,0
valid_ratio,12.5 Hz / 60%,12.5,60,75,90.376,13.744,94.53,5.18,0
valid_ratio,12.5 Hz / 80%,12.5,80,75,91.499,8.491,94.56,5.995,0
valid_ratio,25 Hz / 40%,25,40,75,92.586,7.546,94.58,4.945,0
valid_ratio,25 Hz / 60%,25,60,75,91.047,8.852,94.38,8.005,0
valid_ratio,25 Hz / 80%,25,80,75,91.875,6.999,94,6.625,0
