contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value
8.33 Hz vs 0 Hz,-0.2172,0.1657,24,-0.6437,0.2092,-1.3109,0.4261
12.5 Hz vs 0 Hz,-0.2848,0.1876,24,-0.7677,0.198,-1.5182,0.4261
25 Hz vs 0 Hz,0.2143,0.1749,24,-0.2358,0.6644,1.2252,0.4261
