contrast,estimate,SE,df,lower.CL,upper.CL,t.ratio,p.value,factor
X8.33 - X12.5,0.0676,0.0919,24,-0.1689,0.304,0.7355,0.4692,frequency
X8.33 - X25,-0.4316,0.0989,24,-0.6861,-0.177,-4.3628,4e-4,frequency
X12.5 - X25,-0.4991,0.0954,24,-0.7447,-0.2536,-5.2309,1e-4,frequency
X40 - X60,-0.0631,0.1015,24,-0.3244,0.1981,-0.6218,0.5399,modulation_depth
X40 - X80,-0.2756,0.144,24,-0.6463,0.0951,-1.9136,0.203,modulation_depth
X60 - X80,-0.2125,0.1241,24,-0.5318,0.1068,-1.7129,0.203,modulation_depth
