DV,s1_F,s1_df,s1_p,s1_pes,s2_freq_p,s2_freq_pes,s2_dep_p,s2_dep_pes,s2_int_p,s2_int_pes
Q1,54.133,"1.52, 36.57",0,0.6928,0.0098,0.1917,0,0.7656,0.768,0.0167
Q2,28.672,"1.64, 39.31",0,0.5444,0.009,0.1837,0,0.6374,0.7347,0.0173
Q3,24.186,"1.83, 44.02",0,0.5019,0.0236,0.1599,0,0.6506,0.1733,0.0653
Q4,5.605,"1.51, 36.34",0.0128,0.1893,0.747,0.0115,3e-4,0.3159,0.3254,0.0468
cognitive_load,27.875,"1.73, 41.55",0,0.5373,0.0106,0.1822,0,0.663,0.4342,0.0372
